Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-01-05 23:47 (EST),On Demand,Aditi Shah,10,Meditation,Emotions,10 min Gratitude Meditation,2020-04-02 14:17 (EST),,,,,,,,,,
2021-01-06 11:42 (EST),On Demand,Jess Sims,20,Strength,Bodyweight,20 min Year of Yes Bodyweight Strength,2020-12-21 10:00 (EST),,,,,,,207,122.00,,
2021-01-06 12:06 (EST),On Demand,Olivia Amato,15,Cycling,Music,15 min New Tracks Ride,2020-09-08 08:38 (EST),160,178,52%,72,19.89,4.97,265,168.74,,
2021-01-06 12:23 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 08:30 (EST),,,,,,,56,126.83,,
2021-01-07 00:02 (EST),On Demand,Chelsea Jackson Roberts,5,Meditation,Mindfulness,5 min Family Meditation,2020-12-22 16:33 (EST),,,,,,,,,,
2021-01-07 13:20 (EST),On Demand,Kendall Toole,30,Cycling,Music,30 min Power Hour with Deadmau5 Ride,2020-08-30 12:56 (EST),259,144,47%,73,18.21,9.10,472,156.17,,
2021-01-07 13:52 (EST),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-15 16:00 (EST),,,,,,,56,127.30,,
2021-01-07 14:04 (EST),On Demand,Olivia Amato,5,Strength,Warm Up,5 min Core Strength Warm Up,2020-08-17 10:00 (EST),,,,,,,47,115.98,,
2021-01-07 16:39 (EST),On Demand,Chelsea Jackson Roberts,10,Meditation,Mindfulness,10 min Year of Yes Meditation,2020-12-14 18:36 (EST),,,,,,,,,,
2021-01-07 23:54 (EST),On Demand,Ross Rayburn,10,Meditation,Audio Only,10 min Sleep Meditation,2020-12-28 10:00 (EST),,,,,,,,,,
2021-01-08 11:42 (EST),On Demand,Christine D'Ercole,45,Cycling,Music,45 min 80s Ride,2018-05-06 12:47 (EST),329,122,43%,78,17.50,13.12,594,139.94,,
